scorer,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,body1,body1,body2,body2,head,head,lefthanbdtop,lefthanbdtop,lefthandbottom,lefthandbottom,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,righthandbottom,righthandbottom,righthandtop,righthandtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,body1,body1,body2,body2,head,head,lefthanbdtop,lefthanbdtop,lefthandbottom,lefthandbottom,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,righthandbottom,righthandbottom,righthandtop,righthandtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,body1,body1,body2,body2,head,head,lefthanbdtop,lefthanbdtop,lefthandbottom,lefthandbottom,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,righthandbottom,righthandbottom,righthandtop,righthandtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
11,4.735484135636627,1.0,1.9534456696743356,1.0,3.293264880088116,1.0,,,4.185573704244331,1.0,1.1322062465669058,1.0,4.348200282510511,1.0,2.8091086466694937,1.0,1.718015160500616,1.0,3.951673696445539,1.0,2.4834456797583337,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3.6210800937539016,1.0,1.6370694681764715,1.0,1.309896267009906,1.0,,,2.388284515435645,1.0,5.319085784759715,1.0,2.5033349961219273,1.0,3.726905542789856,1.0,1.1753432096049914,1.0,1.4111190854363853,1.0,0.260087927937996,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2.058157557099617,1.0,2.8159140296637966,1.0,3.5122770429276495,1.0,3.520360866874147,1.0,1.41177596491719,1.0,2.4529513921853248,1.0,,,1.7288735397059816,1.0,5.16260570243322,1.0,2.1022628102952328,1.0,1.750777706781721,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3.1074928053011317,1.0,2.6195820005574357,1.0,4.66265362238337,1.0,5.892576132801886,1.0,1.9745121550190186,1.0,4.417189150335782,1.0,1.123896106001738,1.0,1.909733160478958,1.0,1.2375010666648134,1.0,1.6868391454142595,1.0,1.390576816883718,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.1533973948958216,1.0,2.13735321654319,1.0,2.8495265142453006,1.0,5.139306535944155,1.0,2.5291558385753854,1.0,2.3802997256793663,1.0,4.330629201541524,1.0,1.899564990280191,1.0,2.0828122557701962,1.0,2.332885391135024,1.0,1.5829110977024987,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3.175592839808655,1.0,4.260086948704688,1.0,2.34714762888305,1.0,2.5458875674338954,1.0,1.0238879613896923,1.0,0.4064411517471307,1.0,0.8681356874061578,1.0,4.154745076611007,1.0,6.509227206177639,1.0,1.2478110536098685,1.0,2.173053511142294,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.040065367118472,1.0,2.9994698179962778,1.0,3.2695098742678983,1.0,2.84426478174145,1.0,1.6760118647639546,1.0,2.1465013146180794,0.9990000128746033,4.1220621961196375,1.0,1.708902519160785,1.0,0.878597347837259,1.0,1.3770407235375202,1.0,3.5175042888376074,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.3882795109119521,1.0,3.5477221137734736,1.0,3.2006912293034406,1.0,3.1921565214524414,1.0,3.2661419721397618,1.0,4.8310125260821435,1.0,1.8208929697296579,1.0,3.8505307925105607,1.0,3.966447178499346,1.0,0.27889599569859896,1.0,6.415298827604745,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.5207119740730592,1.0,3.4785419358207306,1.0,3.128462296704468,1.0,1.9393854470673746,1.0,1.5416893327989685,1.0,1.4075708524798316,1.0,3.0004257683716635,1.0,4.064588293207413,1.0,3.5035330373989146,1.0,0.8473490108638001,1.0,1.0110111950661944,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2.7338893424288404,1.0,3.3408875049698215,1.0,2.9149852034050188,1.0,,,,,2.614435187574176,1.0,6.465422217905687,1.0,,,,,3.4975294059539945,1.0,3.8991996749124054,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
